0,1632,1358,1356,1491,1319,1456,1446,1532,1344,1626
1,1491,1319,1632,1446,1358,1344,1532,1456,1381,1624
2,1319,1358,1583,1534,1615,1520,1446,1456,1390,1675
3,1491,1319,1358,1583,1446,1632,1079,1626,1356,1431
4,1632,1319,1616,1446,1652,1547,1381,1358,1079,1356
5,1491,1358,1446,1632,1319,1079,1454,1532,1626,1381
6,1326,1388,1357,1195,1413,1578,1679,1629,1563,1625
7,1454,1358,1622,1428,1624,1319,1344,1356,1632,1667
8,1632,1678,1344,1428,1532,1491,1358,1626,1667,1446
9,1446,1626,1632,1358,1356,1678,1639,1431,1344,1491
10,1579,1547,1583,1319,1641,1617,1079,1349,1520,813
11,1632,1356,1358,1446,1652,1584,1381,436,1532,1563
12,293,244,272,474,747,545,275,1027,762,134
13,1632,1358,1491,1446,1456,1319,1356,1344,1532,1626
14,1624,1491,1495,798,1613,1342,1662,1545,1611,1617
15,1446,1356,1358,1344,1632,1532,1456,1639,1491,1319
16,1454,1491,1624,1639,1344,1356,1532,1431,1626,1569
17,1624,1568,1505,1466,1460,1569,986,956,1431,1648
18,1344,1358,1428,1491,1319,1532,1632,1356,1624,1667
19,1632,1667,1428,1356,1532,1319,1381,1570,1535,1344
20,747,293,272,244,474,275,545,762,134,1027
21,1564,1026,1532,1319,1358,1569,1571,1552,1459,1572
22,293,244,272,275,474,545,475,762,134,1027
23,1639,1356,1319,1358,1624,1428,1431,1600,1520,1626
24,1356,1639,1446,1431,1678,1626,1344,1532,1632,1358
25,1344,1356,1632,1456,1491,1532,1431,1667,1639,1626
26,1319,1491,906,1600,1356,1532,1358,1079,1639,1675
27,1632,1358,1381,1570,1652,1662,1446,1534,1356,1532
28,1491,1632,1358,1446,1319,1344,1456,1626,1583,1678
29,1344,1456,1446,1319,1356,1358,1431,1632,1454,1679
30,1319,1428,1358,1667,1491,1624,1344,1514,1507,1532
31,1491,1319,1632,1358,1344,1446,1626,1678,1532,1456
32,1344,1431,1456,1639,1675,1356,1532,1563,1624,1491
